Sr. No.,Test case name,Test Objective,Steps,Action,Expected Result,Actual Result,Test Data,"Result 
(Chrome)",Comments
14,Company_Profile,"verify an error message shown after adding space in url, in Company website input field",1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company website is renamed to buisness website
,,,2,Go to company website input field and start typing with space (https://www.samsung  .com),"should throw ""space not allowed""",Field not editable No error message displayed,"urls:
1. www.sam sung.com
2. www. rolex .com",failed,The space is not allowed in buisness website in[ut field.
,,,,,,,,,
15,Company_Profile,verify without entering the url in the field and click outside. a error message should be shown in Company website input field,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company website is renamed to buisness website
,,,2,Go to company website input field and start typing with space (https://www.samsung  .com),"""Company website is required"" should be visible","""Company website is required"" is visible",,Pass,throwing error as Buisness website is required.
,,,,,,,,,
16,Company_Profile,Verify a URL containing Parameters in company website input field is not allowed.,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company website is renamed to buisness website
,,,2,Go to company website input field and start typing url with parameters.,"""Invalid website address"" message should throw",field not editabel No error message displayed,"url:
1. https://www.domain.com/page?key1=value1&key2=value2",failed,
,,,,,,,,,
Company Logo,,,,,,,,,
17,Company_Profile,Verify Upload Image button is clickable or not.,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,Go to company logo and click choose file,tab should open to select images,No upload button . tab is opening to select images,,failed,
,,,,,,,,,
18,Company_Profile,Verify button displaying text choose file.,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,Go to company logo and obsereve choose file is present,choose file should be displayed on company logo image button,No choose file is text is present,,failed,
,,,,,,,,,
19,Company_Profile,verify the upload button is present near company logo,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,Go to company logo and observe,upload button should be prensent near choose file.,Np upload button is present near choose file.,,failed,
,,,,,,,,,
20,Company_Profile,"verify the company logo should allow only JPG, PNG or JPEG format.",1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,"Go to company logo , click choose file, select any file except JPG, PNG or JPEG format","""Invalid file only jpg jpeg and png file formats are allowed with less than 2 mb"" should popup","No ""Invalid file only jpg jpeg and png file formats are allowed with less than 2 mb"" has popup","used file formats: 
.pdf, .xls, .gif",failed,
,,,,,,,,,
21,Company_Profile,verify the delete button is appering after chhoosing image file,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,click on choose file,tab containing files should be open,no click on choose file available,,failed,
,,,3,select .jpg image file and click open,the delete button should appear,the delete button has appeared,,failed,
,,,,,,,,,
22,Company_Profile,verify the delete button in  choose file is working ,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,click on choose file,tab containing files should be open,no click on choose file available,,failed,
,,,3,select .jpg image file and click open,the file name with extension should be visible in choose file input field,No file name with extension should be visible in choose file input field,,failed,
,,,4,click on delete button icon,the image file name should vanished,No image file name is vanishing,,failed,
,,,,,,,,,
23,Company_Profile,verify weather reuploading is available after deleting first uploaded image,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,click on choose file,tab containing files should be open,tab containing files should be open,,failed,
,,,3,select .jpg image file and click open,the file name with extension should be visible in choose file input field,the file name with extension should be visible in choose file input field,,failed,
,,,4,click on upload button,"""Sucess image successfully uploaded"" should popup with green right icon","""Sucess image successfully uploaded"" should popup with green right icon",,failed,
,,,5,click on delete button icon,the image name should vanish and upload button should appear,Upload button is not appearing,,failed,
,,,,,,,,,
23,Company_Profile,verify the image file size should not be above 2 mb,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,click on choose file,tab containing files should be open,No tab containing files should be open,,failed,
,,,3,select .jpg image file above 2 mb and click open,"""Invalid file only jpg jpeg and png file formats are allowed with less than 2 mb"" should popup","""Invalid file only jpg jpeg and png file formats are allowed with less than 2 mb"" has popup",,failed,
,,,,,,,,,
24,Company_Profile,Verify uploading by drag and drop image functionality working or not,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,By Drag the image from folder and drop it on company logo file,The image name should be visible in company logo input box,The image name should be visible in company logo input box,,failed,
,,,,,,,,,
"Business type (retailers, government)",,,,,,,,,
,,,,,,,,,
25,Company_Profile,verify the buisness type dropdown menu button is working or not,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,"In Buisness type there are 4 options as Brand Retailers, Suppliers, Government Entity, Services or Consultation."
,,,2,Go to buisness type dropdown menu and click,"brand retailers, government option should be visible",government option is not available,,failed,
,,,,,,,,,
26,Company_Profile,Verify that the brand retails text for the dropdown should be as per requirements and aligned or not.,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,check the alignments and text,"""Select Buisness type"" should visible and aligned",visible and aligned,,Pass,
,,,,,,,,,
27,Company_Profile,"verify if buisness type remain not selected, the error message should visible",1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,update changes button is not activated if the buisness type is not selected
,,,2,Go to select buisness type and click and click outside,"""Business type is required"" error message should appear","No ""Business type is required"" appeared",,failed,
,,,,,,,,,
Company Registration Document,,,,,,,,,
28,Company_Profile,Verify Upload Image button is clickable or not.,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,"Company Registration Document	is now Buisness Registration Document.																"
,,,2,Go to Company Registration Document and click choose file,tab should open to select pdf,tab is opening to select pdf,,Pass,
,,,,,,,,,
29,Company_Profile,Verify Company registration document button displaying text choose file.,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,"Company Registration Document	is now Buisness Registration Document.																"
,,,2,Go to Company registration document and obsereve choose file is present,choose file should be displayed on Company registration document button,choose file is text is present,,Pass,
,,,,,,,,,
30,Company_Profile,verify the upload button is present near choose file,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,Go to Company registration document and observe,upload button should be present near choose file.,upload button should be present near choose file.,,Pass,
,,,,,,,,,
31,Company_Profile,"verify the Company Registration Document should allow .pdf, .doc, .docx, .xls, .xlsx, .txt, .ppt, .pptx, .jpg, .jpeg, .png, .gif",1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,"Company Registration Document	is now Buisness Registration Document.																"
,,,2,"Go to Company Registration Document , click choose file, select any file (.pdf, .doc, .docx, .xls, .xlsx, .txt, .ppt, .pptx format)","""Document selected please upload"" should popup","No ""Document selected please upload"" popup",,failed,
,,,,,,,,,
32,Company_Profile,verify the delete button is appering after chhoosing file,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,"Company Registration Document	is now Buisness Registration Document.																"
,,,2,click on choose file,tab containing files should be open,tab containing files should be open,,Pass,
,,,3,select allowed format file and click open,the delete button should appear,the delete button has appeared,,Pass,
,,,,,,,,,
33,Company_Profile,verify the delete button in  choose file is working ,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,click on Company registration document choose file,tab containing files should be open,tab containing files should be open,,Pass,
,,,3,select .jpg image file and click open,the file name with extension should be visible in choose file input field,the file name with extension should be visible in choose file input field,,Pass,
,,,4,click on delete button icon,the image file name should vanished,the image file name is vanishing,,Pass,
,,,,,,,,,
34,Company_Profile,verify weather reuploading is available after deleting first uploaded file,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,click on Company registration document choose file ,tab containing files should be open,tab containing files should be open,,Pass,
,,,3,select allowed file type and click open,"The file name with extension should be visible in choose file input field and ""Document selected please upload"" should popup","No ""Document selected please upload"" should popup",,failed,
,,,4,click on upload button,"""Sucess image successfully uploaded"" should popup with green right icon","""Sucess image successfully uploaded"" should popup with green right icon",,pass,
,,,5,click on delete button icon,the file name should vanish and upload button should appear,the file name should vanish and upload button should appear,,pass,
,,,,,,,,,
35,Company_Profile,verify the file size should not be above 2 mb,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,click on choose file,tab containing files should be open,tab containing files should be open,,Pass,
,,,3,select file above 2 mb and click open,"""only less than 2mb docs are allowed"" should popup","""only less than 2mb docs are allowed"" should popup",,Pass,
,,,,,,,,,
36,Company_Profile,Verify uploading by drag and drop image functionality working or not,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,By Drag the file from folder and drop it on company egistration document choose file,The file name should be visible in company logo input box,The file name should be visible in company logo input box,,Pass,
,,,,,,,,,
Registration id,,,,,,,,,
37,Company_Profile,Verify the Registration id input field is editable,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,RegistrationID is not mandetory field now
,,,2,Go to Registration id input field and start typing,The Registration id input field should be editable,The Registration id input field is editable,,Pass,
,,,,,,,,,
38,Company_Profile,Verify the Registration id input field Accepts minimum 5 charecters.,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Registration ID is not a mandetory input field
,,,2,Go to Registration id input field and start typing only four charecter,"""Registration id must be at least 5 characters"" error should be displayed","""Registration id must be at least 5 characters"" error should be displayed",,pass,
,,,,,,,,,
39,Company_Profile,Verify the Registration Id input field has maximum 50 charecters limit.,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Registration ID is not a mandetory input field
,,,2,Go to company name input field and start typing above 20  charecter,"""Registration id must not exceed 20 characters"" error should be displayed","""Registration id must not exceed 20 characters"" error should be displayed",,pass,
,,,,,,,,,
40,Company_Profile,Verify the Registration id input field throw error message if its empty,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Registration ID is not a mandetory input field
,,,2,Go to Registration id input field click inside and then outside,"""Registration id is required"" error should be displayed","""Registration id is required"" error should be displayed",,,
,,,,,,,,,
41,Company_Profile,Verify the space should not allowed in Registration id ,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Registration ID is not a mandetory input field
,,,2,"Go to Registration id input field click inside, start typing text with space","""Invalid id"" error message should throw","""Invalid id"" error message should throw",,,
,,,,,,,,,
42,Company_Profile,Verify if Registration id is aligned properly or not,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Registration ID is not a mandetory input field
,,,2,Go to Registration id and check Registartion id input fieldand text are aligned properly or not,should properly aligned with buisness type and company website input filed,Not aligned,,failed,
,,,,,,,,,
Product Categories,,,,,,,,,
43,Company_Profile,verify the Product Categories dropdown menu button is working or not,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,Go to Product Categories dropdown menu and click,"The following element should be visible in Product Categories: 
Health, Dine Out, Accessories, Cosmetic, Electronics, Games, Luggage and, bags, Home decor, OTT, Buisness and Industrial, etc","The following element should be visible in Product Categories: 
Health, Dine Out, Accessories, Cosmetic, Electronics, Games, Luggage and, bags, Home decor, OTT, Buisness and Industrial, etc",,pass,The new categories are added. this categories are removed 
,,,,,,,,,
44,Company_Profile,Verify that search functonality is working or not,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,This feature is obsolate
,,,2,"Go to select Product categories and click, type category name in search box",typed category should appear,typed category is appear,,,
,,,,,,,,,
45,Company_Profile,"verify if Product categories remain not selected, the error message should visible",1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,The upadate changes button is not activate if product categories are not selected
,,,2,Go to select Product categories and click and click outside,"""Categories is required"" error message should appear","""Categories is required"" appeared",,,
,,,,,,,,,
46,Company_Profile,verify select all functionality is working or not,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Select All is not available now in product categories
,,,2,Go to select Product categories and click select all,all categories should be selected,all categories should be selected,,,
,,,,,,,,,
47,Company_Profile,verify select all functionality is working or not,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Select All is not available now in product categories
,,,2,Go to select Product categories and click select all,all categories should be selected,all categories should be selected,,,
,,,,,,,,,
